rupeevest_code,fund_name,amfi_code
49705,ICICI Pru Active Momentum Fund-Reg(G),
49778,Edelweiss BSE Internet Economy Index Fund-Reg(G),
49779,Samco Large & Mid Cap Fund-Reg(G),
49801,Axis Services Opportunities Fund-Reg(G),
49807,Unifi Flexi Cap Fund-Reg(G),
49810,Motilal Oswal Special Opportunities Fund-Reg(G),
49811,Motilal Oswal Infrastructure Fund-Reg(G),
49873,Sundaram Multi-Factor Fund-Reg(G),
49884,UTI Multi Cap,153516
49893,ICICI Pru Quality Fund-Reg(G),
49905,DSP Nifty Healthcare Index Fund-Reg(G),
49928,ICICI Pru Conglomerate Fund-Reg(G),
49929,Motilal Oswal Services Fund-Reg(G),
49933,Bajaj Finserv Small Cap,153609
49975,JM Large & Mid Cap Fund-Reg(G),
49976,TRUSTMF Multi Cap Fund-Reg(G),
49983,Mahindra Manulife Banking & Financial Services Fund-Reg(G),
49985,Baroda BNP Paribas Health and Wellness Fund-Reg(G),
50003,Bajaj Finserv Equity Savings Fund-Reg(G),
50004,Bank of India Mid Cap Fund-Reg(G),
50021,Bandhan Multi-Factor Fund-Reg(G),
50041,Quant Equity Savings Fund-Reg(G),
50096,Capitalmind Flexi Cap Fund-Reg(G),
50097,Samco Small Cap Fund-Reg(G),
50099,Kotak Active Momentum Fund-Reg(G),
50188,Kotak Dividend Yield Fund-Reg(G),
50211,Helios Small Cap Fund-Reg(G),
50217,Bandhan Healthcare Fund-Reg(G),
50227,Invesco India Consumption Fund-Reg(G),
50243,Baroda BNP Paribas Business Conglomerates Fund-Reg(G),
50268,Mahindra Manulife Innovation Opportunities Fund-Reg(G),
50269,Franklin India Multi-Factor Fund(G),
50284,The Wealth Company Flexi Cap Fund-Reg(G),
50308,The Wealth Company Ethical Fund-Reg(G),
50356,Motilal Oswal Consumption Fund-Reg(G),
50372,Bajaj Finserv Banking And Financial Services,153935
50374,Kotak Services Fund-Reg(G),
50392,Groww Small Cap Fund-Reg(G),
50393,LIC MF Consumption Fund-Reg(G),
